County, State_Code, Violent_Crime_Total, Murder, Rape, Robbery, Assault, Useless, Property_Crime_Total, Burglary, Larceny-Theft, Vehicle_Theft
Autauga, AL ,152,-,11,38,103,191,1,606,358,1,162,86,1,540
Baldwin, AL ,255,1,43,39,172,264,3,007,730,2,145,132,3,817
Barbour, AL ,74,1,8,20,45,30,784,127,610,47,64
Bibb, AL ,49,-,2,8,39,(NA),349,101,212,36,(NA)
Blount, AL ,120,2,14,6,98,87,1,440,434,868,138,1,102
Bullock, AL ,23,-,1,1,21,(NA),67,39,28,-,(NA)
Butler, AL ,77,1,5,12,59,1,683,129,530,24,6
Calhoun, AL ,657,8,57,191,401,682,5,483,1,434,3,748,301,4,738
Chambers, AL ,97,-,5,14,78,150,590,162,404,24,670
Cherokee, AL ,7,-,2,-,5,3,130,34,87,9,156
Chilton, AL ,433,1,12,8,412,49,851,249,563,39,198
Choctaw, AL ,3,-,-,2,1,3,29,16,11,2,26
Clarke, AL ,39,-,6,3,30,52,422,68,345,9,316
Clay, AL ,19,1,1,1,16,4,233,83,146,4,66
Cleburne, AL ,13,-,8,2,3,7,332,95,168,69,209
Coffee, AL ,48,1,5,8,34,105,693,209,433,51,726
Colbert, AL ,196,1,15,32,148,77,2,111,483,1,555,73,1,556
Conecuh, AL ,15,-,1,2,12,22,200,36,155,9,147
Coosa, AL ,47,-,5,3,39,25,217,69,136,12,195
Covington, AL ,135,1,15,12,107,(NA),926,235,650,41,(NA)
Crenshaw, AL ,31,2,3,5,21,97,272,82,168,22,270
Cullman, AL ,124,2,27,6,89,91,2,647,679,1,784,184,1,828
Dale, AL ,153,2,16,14,121,191,1,017,214,717,86,1,075
Dallas, AL ,361,6,24,93,238,563,2,673,724,1,715,234,2,804
DeKalb, AL ,59,-,1,4,54,22,1,069,263,709,97,665
Elmore, AL ,99,2,12,28,57,95,1,476,397,1,024,55,1,238
Escambia, AL ,245,4,12,41,188,180,1,393,354,967,72,992
Etowah, AL ,446,4,55,121,266,144,4,716,1,073,3,265,378,1,094
