County,State_Code,Violent_Crime_Total,Murder,Rape,Robbery,Assault,Burglary,Larceny-Theft,Vehicle_Theft
Autauga,AL,152,,11,38,103,606,358,1
Baldwin,AL,255,1,43,39,172,007,730,2
Barbour,AL,74,1,8,20,45,127,610,47
Bibb,AL,49,,2,8,39,101,212,36
Blount,AL,120,2,14,6,98,440,434,868
Bullock,AL,23,,1,1,21,39,28,
Butler,AL,77,1,5,12,59,129,530,24
Calhoun,AL,657,8,57,191,401,483,1,434
Chambers,AL,97,,5,14,78,162,404,24
Cherokee,AL,7,,2,,5,34,87,9
Chilton,AL,433,1,12,8,412,249,563,39
Choctaw,AL,3,,,2,1,16,11,2
Clarke,AL,39,,6,3,30,68,345,9
Clay,AL,19,1,1,1,16,83,146,4
Cleburne,AL,13,,8,2,3,95,168,69
Coffee,AL,48,1,5,8,34,209,433,51
Colbert,AL,196,1,15,32,148,111,483,1
Conecuh,AL,15,,1,2,12,36,155,9
Coosa,AL,47,,5,3,39,69,136,12
Covington,AL,135,1,15,12,107,235,650,41
Crenshaw,AL,31,2,3,5,21,82,168,22
Cullman,AL,124,2,27,6,89,647,679,1
Dale,AL,153,2,16,14,121,017,214,717
Dallas,AL,361,6,24,93,238,673,724,1
DeKalb,AL,59,,1,4,54,069,263,709
Elmore,AL,99,2,12,28,57,476,397,1
Escambia,AL,245,4,12,41,188,393,354,967
Etowah,AL,446,4,55,121,266,716,1,073
Fayette,AL,70,,7,1,62,116,233,43
Franklin,AL,57,,4,9,44,114,281,43
Geneva,AL,93,,9,6,78,166,315,39
Greene,AL,43,1,3,4,35,80,128,10
Hale,AL,69,,5,3,61,125,251,36
Henry,AL,39,1,3,5,30,87,201,39
Houston,AL,301,10,59,124,108,595,861,2
Jackson,AL,124,3,13,11,97,705,422,1
Jefferson,AL,4,926,64,369,2,400,4,396
Lamar,AL,12,,,2,10,40,76,17
Lauderdale,AL,211,2,11,41,157,576,612,1
Lawrence,AL,28,,4,1,23,151,338,35
Lee,AL,553,10,62,111,370,218,1,239
Limestone,AL,63,,12,14,37,071,208,754
Lowndes,AL,88,,4,20,64,203,60,25
Macon,AL,76,2,8,22,44,364,513,38
Madison,AL,1,371,6,130,417,517,13,434
Marengo,AL,127,1,9,18,99,141,415,18
Marion,AL,56,,3,4,49,215,450,42
Marshall,AL,190,1,31,31,127,068,677,2
Mobile,AL,1,818,34,171,857,430,22,728
Monroe,AL,192,4,4,11,173,103,326,38
Montgomery,AL,1,406,26,118,645,683,14,799
Morgan,AL,298,3,23,147,125,763,1,011
Perry,AL,94,,3,12,79,95,248,42
Pickens,AL,67,,7,4,56,74,160,13
Pike,AL,58,1,,16,41,204,197,966
Randolph,AL,73,1,13,9,50,116,436,44
Russell,AL,155,5,20,40,90,481,443,859
St. Clair,AL,195,2,31,19,143,708,360,1
Shelby,AL,303,7,42,94,160,097,762,2
Sumter,AL,65,1,1,8,55,67,146,14
Talladega,AL,185,,28,63,94,532,445,2
Tallapoosa,AL,202,1,22,34,145,556,312,1
Tuscaloosa,AL,793,16,70,219,488,7,873,1
Walker,AL,143,1,16,51,75,584,610,1
Washington,AL,18,,,2,16,59,117,7
Wilcox,AL,33,1,1,2,29,40,89,15
Winston,AL,69,3,3,3,60,141,274,35
Aleutians East,AK,,,,,,,,
Aleutians West,AK,17,,1,2,14,8,63,14
Anchorage,AK,2,176,15,263,332,1,525,10
Bethel,AK,65,1,,8,56,29,87,82
